Report Title,Report Description,Report Link,Report Approval Date:,Report Cover,Choose COUNTRIES,Choose REGION,Choose Report Type,Choose Project/Program Completion Reports (PCR) rating,Choose Validation of Project/Program Completion Report rating,Choose Project/Program Performance Evaluation Report (PPER) rating,Choose Technical Assistance Performance Evaluation (TPER) rating,Choose Project/Program Performance Audit Report rating,Choose Technical Assistance Completion Report rating,IED Reference Number,LESSONS,Project Title,Project Number,Project Summary,Project Data Sheet Link:,I. CHOOSE SECTOR,"Choose Agriculture, Natural Resources, and Rural Development subsector",Choose Education subsector,Choose Energy subsector,Choose Finance subsector,Choose Health subsector,Choose Industry and Trade subsector,Choose Information and Communication Technology subsector,Choose Public Sector Management subsector,Choose Transport subsector,Choose Water and Other Urban Infrastructure and Services subsector,Choose Multisector subsector,II. CHOOSE STRATEGIC AGENDAS,Choose Inclusive Economic Growth pillar,Choose Environmentally Sustainable Growth subcategory,Choose Regional Integration pillar,III. CHOOSE DRIVERS OF CHANGE,Choose Private Sector Development and Private Sector Operations subcategory,Choose Governance and Capacity Development subcategory,Choose Gender Equity and Mainstreaming subcategory,Choose Knowledge Solutions subcategory,Choose Partnerships (Type of Partner) subcategory,Choose Partnerships (Nature of Partnership) subcategory,Loan Number,Grant Number,Technical Assistance Number,Private Sector Loan Number,MFF Number,PVR Name,Validated Lessons,PVR Link,Tags,User ID,Timestamp,Last Updated,Created By,Updated By,Draft,IP,ID,Key
Basic Education Sector Development Program: Validation of Completion Report,This report validates the completion report's assessment of the program. IED overall assessment: Successful.,http://wcm.adb.org/documents/lao-people-s-democratic-republic-basic-education-sector-development-program,24-12-15,,Lao PDR,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-443,"Three important lessons were identified in the PCR (program completion report) and this validation acknowledges them as important. In particular, taking a sector-wide approach to sector development with implementation support that is closely linked to and complements policy reform is important. It is clearly essential to ensure that there is close alignment of the content of the RRP (report and recommendation of the President) and the explicit outcomes and outputs in the DMF (design and monitoring framework). This validation notes that there were a number of inconsistencies in the RRP.
project cycle stage: Concept, Implementation

There was clearly strong coordination and strategic dialogue among all stakeholders in this program. This appears to have been a strong feature of the BESDP (Basic Education Sector Development Program) implementation effort with the executing agency, consultants, and ADB freely interacting and discussing issues that allowed some recovery from initial delays.
project cycle stage: Implementation

There was value gained by engaging MOES (Ministry of Education and Sports) units as implementing partners to help build institutional capacity and ensure sustainability at post-project. This is often discussed in the design of development aid programs but is rarely evident in the final implementation. In this program, the careful identification of responsibilities and division of labor, clear unit and individual accountability, and sustained monitoring were critical to its success.
project cycle stage: Design, Implementation, Operation

It is essential that the DMF (design and monitoring framework) in the RRP (report and recommendation of the President) accurately presents the outcomes, outputs, and indicators that will be used to evaluate the performance of the program. Monitoring systems should be specified in the RRP and established at implementation and that responsible staff are identified at central and local levels for monitoring key activities.
project cycle stage: Concept, Implementation, Operation",Basic Education Sector Development Program,,"The Program is a sector development program (SDP), consisting of (i) a program loan to support policy reforms; and (ii) an investment project grant. The objective of the program is to support policy actions that contribute to (i) ensuring increased resource mobilization to the education sector including rationalizing budgetary allocations for education (ii) the design and implementation of an outcome oriented budgeting and financial management system that will also lead to preparation of a Medium Term Expenditure Framework (MTEF) for education (iii) providing a more relevant and integrated curriculum for school education (iv) strengthening teacher management through preparation of a recruitment and deployment plan and through development of a TMIS and (v).",http://www.adb.org/projects/32312-013/main#project-pds,Education,,"Education sector development, Education sector development - social protection initiatives, Secondary",,,,,,,,,,Inclusive Economic Growth,,,,Governance and Capacity Development,,,,,,,Loan 2306,Grant 0069,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:47,omardumdum,andrequintos,0,124.104.195.112,2074,96so55
India: Western Transport Corridor Project,,http://www.adb.org/documents/india-western-transport-corridor-project,27-10-15,,India,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) identified a few important lessons from the experience with contractors. The criteria for the qualification of contractors under a joint venture and for the award of multiple contracts should be strengthened. The PCR did not elaborate how this can be accomplished. This needs to be further assessed to formulate concrete steps to ensure that prequalified contractors are indeed capable as claimed and have the technical and financial resources to complete the proposed project. While performance bond requirements seek to guarantee contractor performance, this seemed ineffective under this project. There is also a need to strengthen provisions related to contractors' performance, such as mobilization, staffing, deployment of equipment and funds, release of payments, bonus for early completion, and penalties so that poor contractor performance could be discouraged. Likewise, the performance of the contractor should be assessed at the initial stages of the contract and the decision on termination, if warranted, should not be delayed. This validation finds these lessons appropriate and has no further lesson to offer.",India: Western Transport Corridor,31435-013,The primary objective of the Project is (i) to remove capacity constraints on a critical section of the Western Transport Corridor. It also aims at (ii) maximizing private sector participation in the highway development and operations; and (iii) introducing design features that will improve safety and maximize positive impacts for those people within the Project's zone of influence.,http://www.adb.org/projects/31435-013/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4644,3giks
Investment Climate Improvement Program: Validation of Completion Report,This report validates the completion report's assessment of the program. IED overall assessment: Successful.,http://www.adb.org/documents/kyrgyz-republic-investment-climate-improvement-program,20-10-15,,Kyrgyz Republic,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-423,"The lessons presented in the PCR (program completion report) and summarized in this validation are suitable. First, implementation of institutional reforms is more effective and efficient when there is a detailed blueprint with measurable indicators, and implementation arrangements are in place. Second, to attract investments, Kyrgyz Republic firms should also strengthen their productive capabilities and improve their competitiveness. Third, the significant changes in the methodology of the 2015 Doing Business report have negatively affected the Kyrgyz Republic's overall position in the ranking, making it difficult to measure achievements against the program's initial target. However, this validation notes that the Global Competitiveness Report can provide a good alternative source of information on the country's overall competitiveness. And last, the PCR indicated that the report's usefulness lies more in monitoring the country's performance over time rather than measuring progress against other economies. This validation adds the lesson that extensive dialogue is needed, particularly for reforms that meet resistance, to facilitate better cooperation and implementation.
project cycle stage: Concept, Design, Implementation, Operation",Investment Climate Improvement Program,,"ADB is supporting the Kyrgyz Republic's drive to achieve higher, broad-based growth by improving the business climate. The program will focus on reforms that will reduce entry and exit barriers and compliance costs for businesses. It will improve access to finance for small and medium-sized businesses. It will also develop a policy and regulatory framework for public-private partnerships.",http://www.adb.org/projects/41544-022/main#project-pds,Finance,,,,"Banking systems and nonbank financial institutions, Finance sector development, Infrastructure finance and investment funds, Money and capital markets",,,,,,,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,"Grants 0120, 0319 and 0393",,,,,,,,omardumdum,01-01-70 0:00,16-06-16 7:07,omardumdum,andrequintos,0,124.104.195.112,1899,k78wi
CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 1: Validation of Completion Report,This validation reviews the PCR (project completion report) prepared in June 2014. IED overall assessment: Less than successful.,http://www.adb.org/documents/kazakhstan-carec-transport-corridor-1-zhambyl-oblast-section-western-europe-western-people,10-02-15,,Kazakhstan,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,PVR-394,"The PCR (project completion report) identified three lessons. The first lesson was the need for realistic cost estimates. To avoid loan cancellations, effective due diligence should be undertaken through detailed engineering studies, examination of market rates of construction materials and consultant remuneration, and inclusion of careful calculations of physical and price contingencies in the project cost estimate. The second was the need for clearly identifying the role of the project management consultant. The original terms of reference did not properly define the tasks and deliverables of each expert and considerable time for refinements was needed. The third was the need to improve the executing agency's project management capacity. Inadequate knowledge and expertise of MOTC (Ministry of Transport and Communications) and the Committee for Roads on safeguards and procurement affected smooth project implementation. This validation supports these lessons. In addition, the validation notes traffic forecasts should be much more realistic, and reflect impacts of follow on projects on expected usage. Similarly, more effort should be taken to establish sustainable asset management systems, supported by credible sources of funding.
project cycle stage: Design, Feasibility, Appraisal, Implementation",CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 1,,"ADB is helping Kazakhstan improve a key road that will contribute to increasing domestic and regional trade. The first project will reconstruct 125 kilometers of the highway between Taraz and Korday in Zhambyl Oblast. This will be part of the Central Asian Regional Economic Cooperation Transport Corridor I, running from Khorgos city through Almaty and Shymkent to the Russian Federation's western border.",http://www.adb.org/projects/41121-023/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,"Inclusive Economic Growth, Regional Integration",,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,Loan 2503,,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2119,c1qwe8
Customs Modernization Project: Validation of Completion Report,This report validates the completion report's assessment of the project. IED overall assessment: Successful.,http://www.adb.org/documents/mongolia-customs-modernization-project,10-02-15,,Mongolia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-395,"The PCR (project completion report) identified a few important lessons from the project. Reengineering of business processes should be aligned with international standards to maximize harmonization of customs procedures across borders and to facilitate international trade. The setting up of task forces comprising experienced staff from the executing and implementing agencies and from other pertinent agencies proved effective in reengineering the business processes. Proactive engagement with the private sector, particularly with the trading community, helps ensure buy-in of the reengineered business processes and user-friendliness of the system. This validation holds similar views with these lessons and has no other lesson to offer.
project cycle stage: Implementation, Operation",Customs Modernization Project,,"The Customs Modernization Project aims to finance (i) the migration and upgrading of the customs automated data processing system (GAMAS); (ii) the improvement of infrastructure at major customs houses and customs border posts; and (iii) institutional strengthening, including business process reengineering, capacity building in relation to the above two components, interagency coordination, regional cooperation, and public-private partnerships.",http://www.adb.org/projects/35376-033/main#project-pds,Industry and Trade,,,,,,Trade and services,,,,,,"Inclusive Economic Growth, Regional Integration",,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,Loan 2307,Grant 0070,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2120,c1qwe4
Participatory Irrigation Sector Project: Validation of Completion Report,This report validates the completion report's assessment of the project. IED overall assessment: Successful.,http://www.adb.org/documents/indonesia-participatory-irrigation-sector-project,10-02-15,,Indonesia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-393,"The PCR (project completion report) identified a number of lessons derived from the implementation of the project. While all of these are appropriate, this validation highlights mainly two of these as they have wide applicability across developing countries and within ADB. The first lesson deals with the reinforced conviction that WUA (water users association) and/or WUAF (water users associations' federation)-guided participatory irrigation management can be successfully implemented at the district level and in the lower levels in developing countries. The participation of farmers in these schemes improved project implementation as compared to the situation when there was exclusive reliance on administrators and contractors. The second lesson relates to the need to avoid overwrought arrangement for project disbursements. In this project, prorated financing arrangements from three different fund sources across each category of expenditure constrained the flow of funds. The size of imprest accounts should also be large enough to provide adequate cash flow for the executing agencies to operate while disbursement applications are being processed. This is particularly applicable for sector projects.
project cycle stage: Design, Implementation",Participatory Irrigation Sector Project,,"The Project goals are promoting economic growth, improving livelihood of rural people including poor, and supporting good governance in water resources management in Indonesia.",http://www.adb.org/projects/32359-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development","Agricultural production, Irrigation, Water-based natural resources management",,,,,,,,,,,Inclusive Economic Growth,,,,Governance and Capacity Development,,,,,,,Loans 2064 and 2065,Grant 4299,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2121,c1qwe10
Chittagong Port Trade Facilitation Project: Validation of Completion Report,This report validates the completion report's assessment of the project. IED overall assessment: Successful.,http://www.adb.org/documents/bangladesh-chittagong-port-trade-facilitation-project,10-02-15,,Bangladesh,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-392,"The PCR (project completion report) identified a few important lessons from the project. A more effective, high-level coordinating body needs to be established for a complex project of this nature, which comprised various groups of outputs. This could help regularly monitor a project's implementation progress. Planning and coordinating preliminary activities must be done well to minimize delays, including the use of advance actions. Sufficient consultation during project preparation should be undertaken in light of the CHC's (Customs House of Chittagong) decision during implementation not to use ADB funds for their automation program.
project cycle stage: Implementation

This validation offers a few lessons. During project implementation, constant follow-up is needed on the operationalization of the PPMS (project performance management system) and the conduct of baseline and other survey/data collection requirements that could be used in the PCR's (project completion report's) preparation. Likewise, the membership in the project coordination committee could have included a representative of the CCC (Chittagong City Corporation). While not directly implementing any component, the CCC could have expedited the implementation of activities within the Chittagong city proper and helped avoid delays.
project cycle stage: Implementation",Chittagong Port Trade Facilitation Project,,"The Project will increase port capacity, which will lead to reductions in shipping and port charges, and enable the Port of Chittagong in Bangladesh to meet imminent international port security and environmental standards. In the long term, the Project will foster economic growth by facilitating increased international trade.",http://www.adb.org/projects/36105-013/main#project-pds,Transport,,,,,,,,,"Road transport (non-urban), Water transport (non-urban)",,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,Loan 2147,,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2122,c1qwe13
Hunan Roads Development II Project: Validation of Completion Report,This report validates the completion report's assessment of the program. IED overall assessment: Less than successful.,http://www.adb.org/documents/people-s-republic-china-hunan-roads-development-ii-project,30-01-15,,China,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,PVR-390,"The PCR (project completion report) identified three lessons: (i) early preparation and readiness, and achievement of key milestones contribute to timely project completion; (ii) the importance of an appropriate traffic survey; and (iii) the importance of early completion of the resettlement plan. This validation agrees that a sound traffic survey is the heart of a preparatory study for road projects. An understanding of the assumptions used in the forecast and the methodology employed would have made this lesson more meaningful. This validation also notes that poverty incidence declined in the project areas as more jobs were created for local residents, including the ethnic minority groups.
project cycle stage: Design, Feasibility, Implementation, Completion",Hunan Roads Development II Project,,"The project is located in the western part of Hunan Province, one of the poorest regions of the People's Republic of China (PRC). The project helps (i) construct a 173 kilometer (km) expressway across hilly to mountainous terrain; (ii) improve 517 km of local roads servicing poor counties and townships; and (iii) provide consulting services and training to enhance construction quality, road safety, and project monitoring and evaluation.",http://www.adb.org/projects/35338-013/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,Loan 2089,,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2123,c1qwe15
Sindh Growth and Rural Revitalization Program: Validation of Completion Report,This report validates the completion report's assessment of the program. IED overall assessment: Less than successful.,http://www.adb.org/documents/pakistan-sindh-growth-and-rural-revitalization-program,30-01-15,,Pakistan,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,PVR-388,"The lessons identified by the PCR (program completion report) are suitable. The implementation of the program highlighted the appropriateness of the cluster program modality for sustaining reform momentum. Greater effort is needed in assessing the political and economic context to determine the chances of success of reform efforts. The program design was complex with 25 policy conditions for subprogram 1 and 38 policy conditions for subprogram 2, involving a large number of implementing agencies and reform areas. There are benefits in keeping program simple by limiting the number of reform actions, agencies involved, and the number of subprograms under a cluster. This validation shares the view of the PCR that the decision to cancel the processing of subprogram 3 could have been accompanied with efforts to identify reform areas that were making progress and to support these with TA (technical assistance) or with resources on existing or new projects.
project cycle stage: Concept, Design, Implementation",Sindh Growth and Rural Revitalization Program,,"ADB is helping Pakistan promote broad-based growth in Sindh province. The project will help improve management of public spending and boost investment in rural areas, where poverty levels are high and economic opportunities are low. It will also promote private sector participation and public-private partnerships that can increase investment in much-needed infrastructure and social services.",http://www.adb.org/projects/41545-023/main#project-pds,"Agriculture, Natural Resources, and Rural Development, Finance, Health, Public Sector Management, Transport",,,,Insurance and contractual savings,Health system development,,,"Economic affairs management, Public expenditure and fiscal management",Rail transport (non-urban),,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,Effective gender mainstreaming,,,,Loans 2484 and 2645,,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2124,jxkw52
Road Maintenance and Upgrading (Sector) Project: Validation of Completion Report,This report validates the completion report's assessment of the project. IED overall assessment: Less than successful.,http://www.adb.org/documents/papua-new-guinea-road-maintenance-and-upgrading-sector-project,30-01-15,,Papua New Guinea,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,PVR-386,"The PCR (project completion report) identified a few important lessons. One lesson was the need for frequent reviews and close supervision and monitoring of procurement processes. Another lesson pointed out that counterpart funding allocation into project accounts should be made a condition of ADB disbursement. The next lesson cited the need to ensure that subproject preparation should, at least, reach 90% completion at the time of project preparatory technical assistance and 100% before loan effectiveness. The last suggested a rigorous assessment of the executing agency's capacity to undertake technical, financial, economic, safeguards, and governance evaluation of subprojects, which should be done during project formulation. This validation finds these lessons appropriate and has no additional lesson to offer.
project cycle stage: Design, Implementation",Road Maintenance and Upgrading (Sector) Project,,The objective is to assist the Government of Papua New Guinea institutionalize a sustainable and systematic road network maintenance operation in the Highlands region. The Project will establish the required road conditions by restoring the road network to the appropriate standards for meeting the current demand and to enable effective maintenance.,http://www.adb.org/projects/32124-013/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,"Loans 1709, 2242, and 2243",,,,,,,,,omardumdum,01-01-70 0:00,06-04-16 5:48,omardumdum,andrequintos,0,124.104.195.112,2125,jxkw57
