REPORT NAME,COUNTRY,SECTORS,DATE,LESSONS,REPORT TYPE,REPORT RATING,LINK
Afghanistan: Andkhoy - Qaisar Road Project,Afghanistan,Transport,27-12-12,"Careful consideration should be given as to whether a project is really qualified for processing under emergency support modalities. In this case, the time saved from rushed preparation was subsequently lost in delays and other problems in implementation. [Main text, para. 32]

project cycle stage: Design, Implementation

Lesson Topics: 
Modality: Project
Country Context: Emergency",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/afghanistan-andkhoy-qaisar-road-project
Afghanistan: Regional Airports Rehabilitation Project (Phase 1),Afghanistan,Transport,27-12-12,"A lesson from project implementation is that special measures need to be taken with respect to timing, cost estimations, and availability of contractors in a difficult conflict environment. Lessons learned from the resettlement component needed to be included. [Main text, para. 22]

project cycle stage: Feasibility, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Resettlement
Project Design: Project design
Country Context: Conflict/Post-conflict",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/afghanistan-regional-airports-rehabilitation-project-phase-1
Afghanistan: Agriculture Sector Program [Loan 2083-AFG],Afghanistan,"Agriculture, Natural Resources, and Rural Development",30-11-10,"There is a need for closer ADB involvement in critical early stages and greater rigor in government reporting. [Main text, page 10, section E(ii)]

project cycle stage: Implementation

Lesson Topics: 
Monitoring & Evaluation: Monitoring and evaluation
Project Management: Project reporting",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/afghanistan-agriculture-sector-program-loan-2083-afg
Chittagong Port Trade Facilitation Project: Validation of Completion Report,Bangladesh,Transport,10-02-15,"The PCR (project completion report) identified a few important lessons from the project. A more effective, high-level coordinating body needs to be established for a complex project of this nature, which comprised various groups of outputs. This could help regularly monitor a project's implementation progress. Planning and coordinating preliminary activities must be done well to minimize delays, including the use of advance actions. Sufficient consultation during project preparation should be undertaken in light of the CHC's (Customs House of Chittagong) decision during implementation not to use ADB funds for their automation program.
project cycle stage: Implementation

This validation offers a few lessons. During project implementation, constant follow-up is needed on the operationalization of the PPMS (project performance management system) and the conduct of baseline and other survey/data collection requirements that could be used in the PCR's (project completion report's) preparation. Likewise, the membership in the project coordination committee could have included a representative of the CCC (Chittagong City Corporation). While not directly implementing any component, the CCC could have expedited the implementation of activities within the Chittagong city proper and helped avoid delays.
project cycle stage: Implementation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/bangladesh-chittagong-port-trade-facilitation-project
Bangladesh: Road Maintenance and Improvement Project,Bangladesh,Transport,31-08-10,"There is a need to avoid including conditions in loans that depend on passing or amending legislation, or seeking high-level approval, such as from the Cabinet. This was the case in the road maintenence component that sought annual allocations in the budget for road maintenance. Projects that require legal or high-level administrative changes often experience major delays or fail to meet their objectives. [Main text, page 9, section E(ii)]

project cycle stage: Design, Country Partnership Strategy

Lesson Topics: 
Loan Agreement: Covenants
Loan Agreement: Loan Agreement",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/bangladesh-road-maintenance-and-improvement-project
Bhutan: Basic Skills Development Project,Bhutan,Education,01-11-11,"1. Sufficient knowledge of sector issues in developing member countries (DMC) during project formulation can help inform and uphold the relevance of project designs. Limitations on the design and formulation of the Basic Skills Development Project in Bhutan could have been avoided had there been a better understanding of the DMC's sector issues. Even when ADB was working with a development partner reputed to have sector expertise, it was still important for ADB to have sufficient understanding of the issues so that it can address the DMC's capacity problems. This is especially important during implementation when other development partners have departed from the scene. [Main text, para. 27]

project cycle stage: Design, Implementation

Lesson Topics:",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/bhutan-basic-skills-development-project
Cambodia: Education Sector Development Program,Cambodia,"Education, Multisector",27-12-12,"1. The overall design of a sector development program should be well considered to ensure that outputs will lead to the intended outcomes, and that the design is based on a realistic assessment of the government's capacity to meaningfully implement the entire reform agenda. [Main text, para. 30(a)]

<!-- project cycle stage: Design

Lesson Topics: 
Project Design: Project design
Methodologies/Approaches: Sectoral approach -->

2. The adequate coordination, supported by an appropriate mix of program loan, project loan, and advisory technical assistance from ADB, is needed for the effective implementation of sector-wide approaches. [Main text, para. 30(b)]

<!-- project cycle stage: Implementation

Lesson Topics: 
Modality: Program
Modality: Project
Modality: Technical Assistance
Methodologies/Approaches: Sectoral approach -->

3. Effective program loan implementation requires political stability, strong ownership and commitment on the part of the government to implement reforms in education. [Main text, para. 30(c)]

<!-- project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Ownership
Policy &amp; Reform: Reform
Methodologies/Approaches: Program Approach -->",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/cambodia-education-sector-development-program
Cambodia: Commune Council Development Project,Cambodia,Public Sector Management,10-12-12,"1. This validation adds the finding of mission reports that hospitals, Buddhist monks, employers, teachers, as well as community-based volunteerism could be tapped to influence more people to register. [Main text, para. 24]

project cycle stage: Implementation

Lesson Topics: 
Country Context: Decentralization
Methodologies/Approaches: Community approach
Methodologies/Approaches: Participatory approach

2. Lesson relates the importance of securing sustained government resource support for the mobile civil registration activities (to finance supplies, transport, food, and water for registration teams) more so than project-financed allowances and incentives that affect the motivations of recipients after project completion and possibly even the enthusiasm of nonrecipients. [Main text, para. 24]

project cycle stage: Implementation, Operation

Lesson Topics: 
Finance & Financial Aspects: Funding
Country Context: Decentralization",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/cambodia-commune-council-development-project
Cambodia: Tonle Sap Environmental Management Project,Cambodia,"Agriculture, Natural Resources, and Rural Development",30-09-11,"1. For a project with interrelated components funded from separate sources, it is important that a coordination mechanism is set in place to integrate and optimize outputs and impacts. For example, coordination between the ADB-funded components 1 and 2, and the Global Environment Fund-funded, United Nations Development Programme-administered component 3 was lacking in the Tonle Sap Environmental Management Project in Cambodia. While the its design was well conceived with three separate but interrelated components, parallel financing arrangements and the creation of a separate Tonle Sap Conservation Project appear to have made it difficult to coordinate and integrate the project components. ADB's internal procedures somehow reinforced the notion that these were two separate projects. In addition, the project completion report team did not have complete information on the activities and disbursements of component 3. [Main text, paras. 26, 29]

project cycle stage: Design, Implementation

Lesson Topics: 


2. Inferior project frameworks, e.g.,  characterized by the lack of clearly identifiable performance indicators, prevents the conduct of robust evaluations. The validation report on Tonle Sap Environmental Management Project in Cambodia indicated that empirical results linking activities, outputs, and outcomes on socioeconomic and environmental conditions were lacking. Its design did not have a rigorous monitoring plan and needed an improved quantitative set of indicators to measure results. [Main text, paras. 29, 31]

project cycle stage: Design

Lesson Topics:",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/cambodia-tonle-sap-environmental-management-project
Cambodia: Small and Medium Enterprise Development Program [Loan 2129-CAM],Cambodia,Industry And Trade,31-12-10,"1. It is crucial to the success of a policy-based program to undertake proper pre-appraisal preparatory work to identify correctly the concerns and issues that needed to be addressed under a reform program to facilitate program implementation and accomplish the envisaged outcome and outputs (a pre-assessment was done in this case using an ADB funded technical assistance). [Main text, page 7, section E(ii.a)]

project cycle stage: Design, Feasibility, Appraisal

Lesson Topics: 
Modality: Policy-based lending
Modality: Program
Project Design: Appraisal
Policy & Reform: Reform

2. It is essential to provide technical assistance (TA) for capacity enhancement and program implementation to make a success of a reform program (2 TAs were provided in conjunction with the Program in this case). [Main text, page 7, section E(ii.b)]

project cycle stage: Design, Implementation

Lesson Topics: 
Modality: Program
Modality: Technical Assistance
Policy & Reform: Reform

3. It should be understood that enactment of new laws (financial leasing law in this case) which would take time particularly in countries faced with capacity constraints is necessary. [Main text, page 7, section E(ii.c)]

project cycle stage: Implementation, Completion

Lesson Topics: 
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/cambodia-small-and-medium-enterprise-development-program-loan-2129-cam
Dali - Lijiang Railway Project: Validation of Completion Report,China,Transport,30-01-15,"The PCR (project completion report) listed a few important lessons drawn from the project, such as the need for sufficient consultations with stakeholders to promote ownership and responsibility. Likewise, there is a need for continuous process of adaptation to the latest construction and operation technology and more environmentally friendly solutions. The PCR also indicated the need to have careful estimation of the costs of construction materials and more realistic traffic forecast.
project cycle stage: Feasibility, Implementation

This validation offers three additional lessons. First, before implementing any additional works or contract variation, there should already be agreement on the works to be done and the commensurate costs. While this is an accepted project management practice, it may not have been the case in this project, which resulted in significant delays in loan closing due to the negotiations on pricing for additional works or variations. Second, while work on the land acquisition and resettlement seemed to have progressed well, the executing agency - the WYRC (West Yunnan Railway Company) - should have been provided more assistance in its implementation given its inexperience with both PRC (People's Republic of China) and ADB practices. As such, ADB assistance, through more frequent missions during the implementation period, could have provided the guidance needed for land acquisition and resettlement. A third lesson was the need to constantly follow-up with the executing agency on the implementation of the PPMS (project performance and monitoring system). It is surprising to note that this loan condition was not readily achieved, although its compliance was considered as ongoing.
project cycle stage: Implementation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/people-s-republic-china-dali-lijiang-railway-project
Guangxi Nanning Urban Environmental Upgrading Project: Validation of Completion Report,China,"Agriculture, Natural Resources, and Rural Development, Water and Other Urban Infrastructure and Services",30-01-15,"The PCR (project completion report) gave several lessons upon project completion. This validation agrees with these lessons: (i) institutional arrangements�PMO's (project management office's) strong leadership and awareness of its critical role in the coordination process, experience with ADB procedures, and good communication skills are desirable; (ii) consultant recruitment and procurement�early recruitment of consultants and national competitive bidding can reduce project delays; and (iii) resettlement�the PCR noted that allocating commercial land to affected persons is a good practice for maintaining long-term income sources for affected persons; and can be replicated in other ADB projects.
project cycle stage: Implementation, Completion",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/people-s-republic-china-guangxi-nanning-urban-environmental-upgrading-project
Hunan Roads Development II Project: Validation of Completion Report,China,Transport,30-01-15,"The PCR (project completion report) identified three lessons: (i) early preparation and readiness, and achievement of key milestones contribute to timely project completion; (ii) the importance of an appropriate traffic survey; and (iii) the importance of early completion of the resettlement plan. This validation agrees that a sound traffic survey is the heart of a preparatory study for road projects. An understanding of the assumptions used in the forecast and the methodology employed would have made this lesson more meaningful. This validation also notes that poverty incidence declined in the project areas as more jobs were created for local residents, including the ethnic minority groups.
project cycle stage: Design, Feasibility, Implementation, Completion",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/people-s-republic-china-hunan-roads-development-ii-project
Peoples' Republic of China: Yellow River Flood Management (Sector) Project,China,"Agriculture, Natural Resources, and Rural Development",27-12-12,"The requirement, under ADB's formula for sector lending, of early approval by all parties of a completed feasibility report for each ADB-supported subproject, has additional merit, at least in the People's Republic of China experience, of creating opportunity and incentive for perfecting design and introducing savings before actual implementation. [Main text, para. 27]

project cycle stage: Design, Feasibility

Lesson Topics:",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/peoples-republic-china-yellow-river-flood-management-sector-project
People's Republic of China: Capacity Building to Combat Land Degradation Project,China,"Agriculture, Natural Resources, and Rural Development",30-11-11,"1. It is important to establish not just a properly functioning monitoring and evaluation (M&E) system but a monitoring system that enables measurement of global environmental impacts. Without such an M&E system, it will not be possible to verify the impact of PRC�GEF partnership interventions with respect to combating land degradation, reducing poverty, and conserving biodiversity. [Main text, para. 20]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Environmental management
Monitoring & Evaluation: Monitoring and evaluation
Project Design: Project design

2. Technical assistance (TA) activities that are well integrated into the overall project can result in more effective provision of guidance to achieve project outputs. This reiterates the importance of effectively timing TA interventions when supporting investment projects so as to maximize value addition. In the case of the Capacity Building to Combat Land Degradation Project in the People's Republic of China, the TA played a catalytic role in strengthening interagency and multisector cooperation and collaboration for integrated ecosystem management (IEM), including the collection and sharing of IEM-related data and information among policy decision makers, legislators, planners, private sector, and communities. The consultants served as lead resource persons and technical support in (i) various training activities, (ii) completion of IEM strategies and action plans, (iii) formulation and revision of 33 local laws and regulations, and (iv) implementation of 18 pilot sites. [Main text, para. 21]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Environmental management
Modality: Technical Assistance
Project Design: Project design",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/peoples-republic-china-capacity-building-combat-land-degradation-project
