"","x"
"implementation",463
"design",353
"validation",306
"development",265
"capacity",234
"management",217
"government",211
"identified",181
"loan",172
"sector",168
"monitoring",154
"stage",154
"ensure",130
"policy",124
"technical",124
"issues",123
"cycle",122
"support",121
"main",120
"agencies",119
"financial",119
"time",119
"evaluation",117
"agrees",113
"reform",110
"assistance",97
"local",96
"reforms",95
"important",94
"executing",92
"approach",89
"implementing",89
"agency",78
"institutional",78
"experience",77
"procurement",77
"based",76
"appraisal",75
"community",73
"future",72
"delays",71
"early",71
"activities",70
"performance",70
"staff",69
"effective",68
"resources",67
"operations",65
"system",65
"cost",64
"needed",64
"adequate",63
"country",62
"process",61
"commitment",60
"concurs",60
"consultants",59
"related",59
"services",59
"building",58
"department",58
"case",57
"coordination",57
"ownership",57
"review",57
"social",57
"investment",56
"preparation",56
"importance",55
"provided",55
"components",54
"fund",54
"funds",54
"assessment",53
"institutions",52
"success",52
"road",51
"supervision",51
"sustainability",51
"key",50
"poor",50
"training",50
"completion",49
"number",49
"procedures",49
"realistic",49
"due",48
"complex",47
"finance",47
"infrastructure",47
"economic",46
"modality",46
"problems",46
"required",46
"essential",45
"level",45
"programs",45
"provide",45
"avoid",44
"conditions",44
"small",44
"additional",43
"financing",43
"including",43
"works",43
"areas",42
"long",42
"require",42
"framework",41
"national",41
"noted",41
"subprojects",41
"work",41
"addition",40
"funding",40
"learned",40
"loans",40
"public",40
"risk",40
"term",40
"water",40
"actions",39
"impact",39
"land",39
"made",39
"outcomes",39
"countries",38
"political",38
"quality",38
"strong",38
"account",37
"change",37
"planning",37
"selection",37
"analysis",36
"aspects",36
"bank",36
"clear",36
"considered",36
"microfinance",36
"notes",36
"successful",36
"demand",35
"flexibility",35
"greater",35
"lending",35
"maintenance",35
"private",35
"resettlement",35
"similar",35
"attention",34
"critical",34
"data",34
"education",34
"environment",34
"high",34
"market",34
"outputs",34
"requirements",34
"risks",34
"rural",34
"approval",33
"construction",33
"contractors",33
"costs",33
"focus",33
"good",33
"operation",33
"section",33
"timely",33
"component",32
"difficult",32
"include",32
"independent",32
"international",32
"strategy",32
"arrangements",31
"beneficiaries",31
"consultant",31
"context",31
"ied",31
"information",31
"lack",31
"large",31
"limited",31
"significant",31
"sustainable",31
"valuable",31
"effectiveness",30
"fully",30
"major",30
"mission",30
"page",30
"relevant",30
"supported",30
"credit",29
"detailed",29
"implement",29
"involved",29
"make",29
"participation",29
"approaches",28
"benefits",28
"formulation",28
"health",28
"indicators",28
"investments",28
"objectives",28
"partners",28
"resident",28
"results",28
"stakeholders",28
"targets",28
"decision",27
"generally",27
"highlighted",27
"implemented",27
"improve",27
"improved",27
"ministry",27
"systems",27
"drawn",26
"governance",26
"proper",26
"action",25
"affected",25
"agreement",25
"civil",25
"communities",25
"included",25
"income",25
"making",25
"organizations",25
"part",25
"processes",25
"recovery",25
"roads",25
"scope",25
"sufficient",25
"weak",25
"diligence",24
"ensuring",24
"extended",24
"oed",24
"partnership",24
"place",24
"poverty",24
"regional",24
"reporting",24
"resource",24
"role",24
"stated",24
"subproject",24
"supply",24
"view",24
"area",23
"carefully",23
"effectively",23
"emergency",23
"involvement",23
"mechanism",23
"plan",23
"potential",23
"prepared",23
"prior",23
"provincial",23
"set",23
"start",23
"supports",23
"terms",23
"undertaken",23
"address",22
"administration",22
"avoided",22
"benefit",22
"business",22
"conflict",22
"designed",22
"established",22
"existing",22
"feasibility",22
"institution",22
"levels",22
"requires",22
"stages",22
"annual",21
"consideration",21
"contracts",21
"covenants",21
"dialogue",21
"environmental",21
"facilities",21
"governments",21
"integrated",21
"measures",21
"medium",21
"offer",21
"power",21
"recommendation",21
"specific",21
"technology",21
"tranche",21
"unit",21
"actual",20
"careful",20
"considers",20
"contract",20
"missions",20
"people",20
"practice",20
"practices",20
"providing",20
"short",20
"targeting",20
"accurate",19
"basis",19
"borrower",19
"budget",19
"commercial",19
"extension",19
"interventions",19
"low",19
"meet",19
"ngos",19
"period",19
"processing",19
"regulatory",19
"result",19
"skills",19
"strengthening",19
"suggested",19
"years",19
"acquisition",18
"close",18
"control",18
"delayed",18
"efforts",18
"enterprise",18
"expertise",18
"farmers",18
"finds",18
"follow",18
"full",18
"groups",18
"improvement",18
"improving",18
"methodologies",18
"nam",18
"office",18
"outcome",18
"provision",18
"rehabilitation",18
"understanding",18
"viet",18
"achieve",17
"competitive",17
"counterpart",17
"delay",17
"designing",17
"designs",17
"documents",17
"factors",17
"impacts",17
"industry",17
"initial",17
"initiatives",17
"presented",17
"president",17
"recommendations",17
"republic",17
"rrp",17
"situation",17
"state",17
"type",17
"urban",17
"ability",16
"access",16
"adds",16
"advance",16
"assessed",16
"bidding",16
"central",16
"crucial",16
"driven",16
"estimates",16
"funded",16
"helped",16
"longer",16
"mechanisms",16
"million",16
"mobilization",16
"nature",16
"nongovernment",16
"plans",16
"pointed",16
"reduction",16
"strengthen",16
"units",16
"achieved",15
"availability",15
"baseline",15
"capital",15
"compensation",15
"concept",15
"constraints",15
"contractor",15
"drew",15
"engagement",15
"households",15
"housing",15
"increase",15
"listed",15
"operational",15
"post",15
"preparatory",15
"progress",15
"promote",15
"properly",15
"proposed",15
"regulations",15
"relevance",15
"research",15
"single",15
"sound",15
"taking",15
"tariff",15
"ambitious",14
"authority",14
"contributed",14
"core",14
"derived",14
"district",14
"dmf",14
"efficient",14
"enterprises",14
"expected",14
"identifies",14
"inadequate",14
"intended",14
"interest",14
"led",14
"line",14
"monitor",14
"qualified",14
"reconstruction",14
"release",14
"reports",14
"service",14
"stakeholder",14
"strengthened",14
"structure",14
"add",13
"agricultural",13
"caused",13
"cluster",13
"collection",13
"company",13
"compliance",13
"condition",13
"conduct",13
"criteria",13
"developed",13
"difficulties",13
"directly",13
"efficiency",13
"establishing",13
"experienced",13
"guarantee",13
"highlights",13
"identify",13
"involving",13
"issue",13
"labor",13
"law",13
"legal",13
"multiple",13
"positive",13
"problem",13
"put",13
"requirement",13
"responsibility",13
"rigorous",13
"school",13
"separate",13
"standards",13
"suggests",13
"sustained",13
"timing",13
"achievement",12
"achieving",12
"addressed",12
"agenda",12
"agreed",12
"arrangement",12
"banks",12
"basic",12
"board",12
"broad",12
"build",12
"capability",12
"capacities",12
"changing",12
"comprehensive",12
"concerned",12
"concerns",12
"consultation",12
"continued",12
"direct",12
"equipment",12
"external",12
"facilitate",12
"facility",12
"general",12
"guidelines",12
"human",12
"inputs",12
"internal",12
"irrigation",12
"laws",12
"mitigation",12
"pay",12
"planned",12
"rates",12
"readiness",12
"recruitment",12
"reduce",12
"regular",12
"responsibilities",12
"schools",12
"sme",12
"smooth",12
"study",12
"subsequent",12
"target",12
"targeted",12
"undertake",12
"adoption",11
"agriculture",11
"allowed",11
"applied",11
"assess",11
"broader",11
"china",11
"collaboration",11
"communication",11
"companies",11
"constrained",11
"developing",11
"economy",11
"effort",11
"energy",11
"equity",11
"extensive",11
"fiscal",11
"frame",11
"maintaining",11
"marketing",11
"midterm",11
"monitored",11
"pakistan",11
"paras",11
"parties",11
"partner",11
"phase",11
"pilot",11
"policies",11
"price",11
"provisions",11
"regard",11
"reported",11
"safeguards",11
"savings",11
"schemes",11
"situations",11
"smes",11
"studies",11
"summarized",11
"trade",11
"viable",11
"administrative",10
"anticipated",10
"awareness",10
"beneficiary",10
"circumstances",10
"cited",10
"closely",10
"closer",10
"committee",10
"contingencies",10
"continue",10
"continuing",10
"cover",10
"decentralization",10
"determine",10
"disbursement",10
"discussed",10
"empowerment",10
"end",10
"establish",10
"extent",10
"failure",10
"focused",10
"gender",10
"guidance",10
"house",10
"incentives",10
"india",10
"insufficient",10
"joint",10
"knowledge",10
"link",10
"linked",10
"ministries",10
"operating",10
"original",10
"participating",10
"participatory",10
"pre",10
"protection",10
"prsc",10
"reasons",10
"recommended",10
"reduced",10
"security",10
"side",10
"simple",10
"sized",10
"source",10
"sources",10
"standard",10
