"","x"
"implement",611
"design",414
"valid",322
"develop",303
"govern",258
"manag",256
"capac",246
"identifi",217
"loan",212
"reform",205
"agenc",197
"support",183
"monitor",181
"sector",181
"stage",176
"time",169
"ensur",165
"fund",164
"requir",162
"institut",155
"import",152
"evalu",150
"issu",137
"polici",135
"agre",131
"effect",130
"oper",130
"provid",129
"technic",125
"consult",124
"cycl",122
"financi",121
"main",120
"approach",117
"assist",113
"process",109
"sustain",108
"delay",106
"includ",103
"cost",101
"countri",100
"improv",99
"communiti",98
"execut",98
"local",98
"success",98
"work",98
"assess",97
"invest",97
"prepar",96
"financ",95
"system",94
"activ",92
"relat",92
"resourc",91
"plan",88
"compon",86
"addit",85
"experi",82
"note",81
"base",80
"perform",80
"coordin",79
"procur",79
"apprais",77
"road",77
"avoid",76
"involv",76
"risk",74
"servic",74
"futur",72
"target",72
"adequ",71
"build",71
"commit",71
"earli",71
"review",69
"staff",69
"achiev",68
"case",67
"depart",67
"level",67
"area",65
"need",65
"subproject",65
"action",64
"complet",64
"concur",64
"term",64
"result",63
"supervis",61
"train",61
"social",60
"problem",59
"account",58
"benefit",58
"complex",58
"condit",58
"make",58
"impact",57
"outcom",57
"ownership",57
"select",57
"bank",56
"consid",56
"chang",53
"poor",53
"procedur",53
"market",52
"recommend",52
"modal",51
"realist",51
"econom",50
"essenti",50
"infrastructur",50
"key",50
"learn",50
"mission",50
"number",50
"care",49
"establish",49
"focus",49
"report",49
"strengthen",49
"contractor",48
"due",48
"program",48
"contract",47
"intern",47
"particip",47
"limit",46
"flexibl",45
"framework",45
"relev",45
"state",45
"suggest",45
"approv",44
"continu",44
"initi",44
"practic",44
"respons",44
"similar",44
"small",44
"arrang",43
"nation",43
"highlight",42
"long",42
"stakehold",42
"aspect",41
"beneficiari",41
"high",41
"partner",41
"proper",41
"public",41
"strong",41
"address",40
"construct",40
"mechan",40
"organ",40
"water",40
"general",39
"lack",39
"land",39
"made",39
"output",39
"polit",39
"signific",39
"unit",39
"formul",38
"increas",38
"privat",38
"qualiti",38
"section",38
"demand",37
"detail",37
"environ",37
"inform",37
"larg",37
"lend",37
"ministri",37
"analysi",36
"clear",36
"estim",36
"good",36
"mainten",36
"measur",36
"microfin",36
"offer",36
"resettl",36
"strategi",36
"administr",35
"critic",35
"decis",35
"greater",35
"object",35
"page",35
"start",35
"attent",34
"data",34
"educ",34
"independ",34
"rural",34
"set",34
"weak",34
"affect",33
"context",33
"extens",33
"facil",33
"indic",33
"link",33
"promot",33
"close",32
"difficult",32
"enterpris",32
"part",32
"reduc",32
"view",32
"direct",31
"effici",31
"emerg",31
"major",31
"region",31
"resid",31
"valuabl",31
"credit",30
"fulli",30
"point",30
"provis",30
"specif",30
"add",29
"agreement",29
"consider",29
"effort",29
"engag",29
"facilit",29
"help",29
"integr",29
"period",29
"role",29
"adopt",28
"borrow",28
"concern",28
"feasibl",28
"health",28
"intervent",28
"meet",28
"situat",28
"technolog",28
"tranch",28
"contribut",27
"extend",27
"find",27
"offic",27
"suppli",27
"conduct",26
"discuss",26
"drawn",26
"exist",26
"group",26
"incom",26
"partnership",26
"phase",26
"potenti",26
"present",26
"scope",26
"structur",26
"suffici",26
"budget",25
"civil",25
"conflict",25
"dilig",25
"hous",25
"law",25
"maintain",25
"mobil",25
"place",25
"power",25
"recoveri",25
"school",25
"standard",25
"agricultur",24
"compani",24
"cover",24
"demonstr",24
"natur",24
"poverti",24
"studi",24
"understand",24
"accur",23
"author",23
"bid",23
"busi",23
"commerci",23
"coven",23
"farmer",23
"posit",23
"prior",23
"provinci",23
"undertaken",23
"difficulti",22
"enhanc",22
"environment",22
"expect",22
"list",22
"mitig",22
"propos",22
"short",22
"sourc",22
"advanc",21
"alloc",21
"annual",21
"appli",21
"capabl",21
"competit",21
"concept",21
"dialogu",21
"document",21
"household",21
"legisl",21
"line",21
"medium",21
"methodolog",21
"rais",21
"access",20
"actual",20
"collect",20
"control",20
"determin",20
"district",20
"factor",20
"input",20
"introduc",20
"peopl",20
"regul",20
"rehabilit",20
"take",20
"type",20
"year",20
"accept",19
"basi",19
"communic",19
"enabl",19
"incent",19
"industri",19
"interest",19
"low",19
"ngos",19
"rate",19
"recruit",19
"regulatori",19
"scheme",19
"separ",19
"skill",19
"util",19
"acquisit",18
