"","V1"
"2074",4
"4644",21
"1899",17
"2119",12
"2120",23
"2121",9
"2122",25
"2123",16
"2124",3
"2125",8
"2126",22
"2127",25
"2128",17
"2129",3
"4791",22
"2130",23
"4594",4
"4606",17
"4683",23
"4686",16
"4693",12
"4783",16
"4785",2
"4790",15
"4810",2
"4818",3
"4859",16
"4583",14
"4622",21
"4703",5
"4730",14
"4738",13
"4751",24
"4800",17
"5829",14
"5856",5
"4650",11
"4579",8
"4614",4
"4627",12
"4682",21
"4695",8
"4704",3
"4716",3
"4733",11
"4778",21
"4797",14
"4798",14
"4842",5
"5835",3
"5867",16
"4563",16
"4608",24
"4619",3
"4628",11
"4815",3
"5850",4
"5855",12
"4615",16
"4588",22
"5854",4
"4861",8
"5832",24
"5845",25
"5847",12
"4573",21
"4599",17
"4643",17
"4801",17
"5834",3
"4621",1
"4623",1
"4677",20
"4829",1
"4832",20
"4845",4
"4651",22
"5851",23
"4714",13
"4782",9
"5857",7
"5858",11
"4689",7
"5862",3
"2132",21
"4589",14
"4597",20
"4787",5
"4814",17
"4638",24
"4667",22
"4601",5
"4855",20
"4749",5
"4568",3
"4762",3
"4566",12
"4571",12
"4574",24
"4580",4
"4616",3
"4617",6
"4629",8
"4631",24
"4656",23
"4659",22
"4662",22
"4674",5
"4680",23
"4688",2
"4691",2
"4692",3
"4698",22
"4705",2
"4713",11
"4731",3
"4739",3
"4752",3
"4767",2
"4768",13
"4840",18
"4843",7
"5831",2
"5838",13
"4830",25
"4570",12
"4577",17
"4596",25
"4618",12
"4635",18
"4665",24
"4706",5
"4788",22
"4844",11
"4850",3
"4636",18
"4676",21
"4709",11
"4826",23
"5837",16
"5841",4
"5844",5
"4745",24
"4808",14
"5836",5
"4585",2
"4591",20
"4711",3
"4724",3
"4856",3
"4805",23
"5830",16
"2133",9
"4721",2
"5853",8
"4639",1
"2134",17
"2135",9
"2136",18
"2137",9
"2138",5
"2139",17
"2140",9
"2141",8
"4565",2
"4569",8
"4576",11
"4586",6
"4611",23
"4613",11
"4653",8
"4666",22
"4668",23
"4669",18
"4672",11
"4719",6
"4729",5
"4750",22
"4755",5
"4771",25
"4772",5
"4795",17
"4806",7
"4857",11
"5846",2
"4564",18
"4777",8
"4799",1
"2142",16
"2143",3
"2144",9
"4603",1
"4690",3
"4728",21
"4792",12
"4809",17
"2145",9
"2146",9
"2147",9
"2148",9
"2149",9
"2150",18
"2151",16
"2152",9
"2153",3
"4610",5
"4604",6
"4607",14
"4657",19
"4671",3
"4710",10
"4717",12
"4774",7
"4784",23
"4811",17
"4812",7
"4819",24
"4822",9
"5860",18
"5865",13
"4841",22
"2154",3
"4828",1
"2155",9
"2156",18
"2157",9
"2158",10
"2159",16
"2160",4
"2161",3
"2162",4
"4567",3
"4578",11
"4612",4
"4602",22
"4620",11
"4640",18
"4732",3
"4736",3
"4743",11
"4757",24
"4758",11
"4802",17
"4838",24
"4846",18
"4847",11
"5833",12
"5863",3
"2163",9
"2164",6
"2165",10
"4744",2
"2166",10
"2167",10
"4760",2
"4825",20
"4860",22
"5828",2
"2168",10
"2169",4
"2170",8
"2171",6
"2172",8
"2173",9
"2174",9
"5859",20
"2175",20
"2176",23
"2177",3
"2178",9
"2179",8
"4575",20
"4609",23
"4634",18
"4654",8
"4707",2
"4718",1
"4741",22
"4759",24
"4776",4
"4779",1
"4786",17
"4803",6
"4820",7
"4831",1
"2180",9
"4765",20
"5840",13
"2181",4
"2182",8
"4742",8
"4764",22
"4754",13
"4862",12
"2183",9
"2184",9
"2185",3
"2186",9
"2187",9
"4572",8
"4700",3
"4735",25
"2188",9
"2189",8
"2191",8
"4722",2
"4849",5
"2192",9
"4624",8
"4664",25
"4747",7
"4763",8
"4770",5
"4780",17
"4794",14
"4581",19
"4587",7
"4626",19
"4633",2
"4647",19
"4649",19
"4655",4
"4673",13
"4678",2
"4699",19
"4701",19
"4712",18
"4720",15
"4723",1
"4725",10
"4734",19
"4753",22
"4781",17
"4789",17
"4793",17
"4821",1
"4823",19
"4833",25
"4834",2
"4837",1
"5852",23
"5861",3
"4694",21
"4584",3
"4642",18
"4646",6
"4658",6
"4661",2
"4679",3
"4681",3
"4702",8
"4740",8
"4816",25
"4835",16
"4839",25
"4851",2
"4852",25
"4858",19
"5843",18
"4697",10
"4582",13
"4590",16
"4632",5
"4648",19
"4675",12
"4687",16
"4748",13
"4766",10
"4813",3
"5839",6
"5842",4
"4593",19
"4708",25
"4726",19
"4769",4
"4773",10
"4817",8
"4827",17
"4854",4
"4595",15
"4600",7
"4605",7
"4641",5
"4670",19
"4715",12
"4737",19
"4761",19
"4796",4
"4863",19
"4630",3
"4660",8
"4775",3
"4824",17
"4598",13
"5866",19
"4592",1
"4645",11
"4804",18
