"","V1"
"6198",3
"6253",3
"2420",5
"6089",4
"6266",6
"2469",1
"5987",1
"6152",5
"5989",10
"2498",2
"6025",2
"6045",5
"6047",8
"6054",2
"6057",2
"6036",9
"6069",4
"2511",12
"2516",1
"3784",7
"3787",2
"3799",2
"3788",2
"3793",2
"6065",4
"3821",1
"3822",3
"3847",1
"3848",2
"3873",1
"3874",3
"3899",1
"3900",3
"3907",3
"2544",6
"2545",1
"2555",1
"3967",9
"3958",9
"3946",3
"3965",1
"3931",5
"2561",3
"2587",4
"2598",1
"2613",4
"2649",8
"2654",2
"2680",1
"2688",7
"2694",2
"2746",2
"2798",7
"2831",12
"6254",1
"6255",8
"6256",2
"6192",3
"6193",2
"6194",3
"6195",2
"6197",5
"6199",2
"6200",1
"6201",3
"6202",2
"6203",9
"6204",6
"6205",2
"6206",1
"6207",3
"6208",7
"6209",4
"6210",7
"6211",6
"6212",1
"6213",10
"6215",1
"6217",2
"6218",1
"6219",12
"6220",4
"6221",9
"6222",2
"6223",2
"6225",1
"6226",2
"6228",7
"6229",1
"6230",3
"6231",5
"6232",4
"6233",2
"6235",4
"6237",3
"6238",2
"6239",2
"6240",8
"6241",12
"6242",5
"6243",12
"6245",3
"6246",1
"6248",7
"6249",3
"6251",1
"6252",7
"2418",9
"6080",3
"6088",10
"6094",2
"6107",10
"6109",4
"6111",1
"6257",12
"6258",4
"6276",2
"6277",1
"6278",5
"6279",8
"6084",5
"6086",1
"6095",12
"6102",3
"6103",1
"6104",1
"6110",7
"6259",4
"6263",2
"6271",7
"6274",10
"6275",2
"6082",4
"6085",7
"6087",2
"6096",4
"6099",2
"6106",8
"6108",1
"6261",2
"6262",4
"6264",4
"6273",1
"6090",1
"6079",7
"6092",2
"6269",6
"2422",1
"2423",3
"2424",4
"6113",9
"2426",4
"2427",4
"2428",6
"2429",10
"2430",4
"2431",5
"2432",4
"2433",10
"2435",6
"2436",9
"2437",2
"2438",8
"2439",7
"2440",4
"2441",7
"2442",6
"2443",1
"2444",3
"2445",2
"2447",3
"2448",11
"2449",12
"2450",3
"2451",5
"2452",2
"2453",11
"2454",8
"2455",3
"2457",8
"2458",4
"2459",1
"2460",3
"2461",6
"2462",5
"2464",1
"2466",1
"2467",6
"2468",3
"6115",5
"6117",12
"6118",9
"6123",4
"6124",8
"6127",2
"6144",1
"6145",1
"6147",3
"6129",4
"6130",3
"6134",4
"6143",12
"6116",1
"6119",11
"6120",3
"6121",6
"6122",2
"6125",5
"6146",3
"6131",8
"6132",6
"6133",5
"6135",6
"6136",2
"6137",9
"6140",1
"6142",10
"2472",4
"2473",3
"2474",1
"2475",10
"2476",4
"2477",3
"2478",3
"2479",5
"2480",7
"2481",1
"2482",1
"2483",2
"2484",5
"2485",3
"2486",1
"2487",2
"2488",10
"2489",5
"2490",2
"2491",3
"2492",1
"2495",2
"2496",2
"5986",4
"5988",1
"5993",2
"5994",2
"5998",10
"6000",1
"6002",3
"6007",3
"6012",5
"6013",3
"6014",3
"6148",2
"6150",6
"6151",1
"6159",5
"6163",3
"6175",4
"6176",5
"6177",7
"5979",3
"5980",4
"5995",2
"6153",5
"6162",7
"6166",1
"6174",4
"5996",1
"6005",2
"6006",3
"6009",5
"6154",1
"6155",4
"6167",1
"6170",2
"5983",5
"5991",4
"6008",3
"6161",6
"6164",2
"5985",1
"5990",4
"5999",1
"6156",3
"6158",10
"6149",7
"6165",2
"6169",1
"2499",4
"2500",12
"2501",7
"2502",4
"6015",6
"6016",6
"6022",8
"6023",4
"6024",3
"6027",1
"6028",11
"6030",2
"6033",7
"6034",5
"6035",7
"6039",11
"6040",7
"6041",6
"6048",9
"6050",5
"6067",7
"6072",1
"6074",5
"6077",5
"6078",2
"6017",8
"6042",3
"6044",7
"6051",11
"6071",1
"6037",3
"6058",1
"6073",1
"6049",8
"6068",4
"6076",1
"2503",5
"6038",8
"2506",4
"2507",6
"2509",2
"2510",11
"2513",10
"2514",1
"2515",3
"6029",1
"2517",9
"3770",1
"3773",3
"3780",1
"3785",4
"3786",4
"3792",1
"3795",5
"3801",1
"6060",1
"6061",4
"6064",7
"2518",5
"2519",1
"2520",5
"3789",6
"3771",12
"3783",4
"3779",4
"2522",3
"2526",1
"3778",6
"2523",10
"6062",7
"3797",6
"3772",3
"3800",3
"2524",1
"3769",2
"2525",5
"2527",10
"2528",8
"3802",2
"3808",2
"3812",7
"3828",10
"3834",2
"3838",12
"3854",2
"3860",2
"3864",7
"3880",2
"3886",2
"3890",12
"3911",1
"3919",2
"2531",10
"2532",1
"2533",10
"3818",9
"3844",11
"3870",11
"3896",10
"3921",1
"3926",3
"3928",5
"2534",6
"3805",4
"3813",3
"3824",12
"3831",4
"3850",11
"3857",4
"3839",1
"3865",3
"3876",3
"3883",4
"3891",3
"3902",12
"3909",4
"3912",4
"3913",11
"3917",4
"3918",2
"3923",2
"3927",4
"2535",4
"2536",2
"2537",7
"3804",12
"3820",12
"3830",3
"3846",12
"3856",3
"3872",5
"3882",3
"3898",3
"2538",4
"3811",12
"3819",4
"3837",12
"3845",5
"3863",3
"3871",4
"3889",6
"3897",4
"3916",4
"2539",8
"3806",3
"3832",7
"3858",3
"3884",3
"3929",6
"2541",3
"3908",4
"2542",8
"3915",7
"2546",3
"2547",5
"2548",7
"2549",1
"2552",10
"2554",10
"3930",4
"3938",10
"3941",7
"3969",1
"2556",10
"2557",10
"3937",5
"3939",10
"3960",1
"3962",6
"3970",7
"3934",5
"3957",4
"3956",5
"3964",2
"3966",1
"2558",10
"3950",1
"3951",2
"3952",11
"2559",8
"3935",6
"3936",2
"3961",7
"3947",2
"2560",2
"3968",7
"3944",8
"3932",8
"2562",4
"2564",4
"2565",7
"2566",2
"2567",5
"2569",3
"2570",9
"2571",3
"2572",4
"2575",1
"2576",3
"2577",8
"2579",2
"2580",2
"2581",2
"2582",1
"2583",4
"2584",2
"2585",7
"2586",9
"2589",7
"2590",8
"2592",5
"2593",2
"2594",7
"2595",3
"2599",12
"2600",5
"2601",7
"2602",11
"2603",7
"2605",4
"2606",9
"2608",3
"2609",1
"2610",9
"2612",3
"2614",6
"2615",12
"2616",2
"2617",7
"2619",4
"2621",3
"2624",11
"2625",4
"2626",1
"2627",2
"2630",2
"2631",5
"2632",3
"2634",9
"2635",4
"2636",2
"2637",5
"2638",1
"2639",1
"2640",2
"2642",2
"2645",1
"2647",7
"2651",10
"2653",9
"2656",7
"2658",3
"2659",10
"2660",5
"2661",2
"2663",1
"2664",3
"2666",7
"2669",2
"2671",3
"2672",4
"2674",5
"2675",1
"2676",1
"2677",6
"2681",2
"2682",1
"2683",1
"2684",12
"2685",5
"2687",1
"2689",7
"2690",3
"2692",1
"2693",3
"2696",4
"2697",10
"2698",2
"2699",10
"2700",10
"2701",3
"2702",7
"2704",5
"2705",5
"2707",4
"2711",5
"2712",2
"2713",1
"2714",10
"2715",7
"2718",5
"2719",5
"2720",2
"2723",11
"2725",11
"2731",10
"2733",1
"2734",5
"2735",7
"2737",12
"2738",5
"2739",3
"2741",5
"2743",2
"2744",3
"2745",1
"2749",2
"2752",2
"2753",6
"2754",2
"2755",2
"2756",1
"2758",6
"2759",4
"2763",2
"2764",2
"2766",2
"2768",3
"2769",2
"2770",4
"2771",9
"2772",1
"2773",5
"2774",1
"2776",11
"2777",11
"2778",6
"2779",1
"2783",11
"2784",2
"2785",1
"2786",8
"2787",9
"2788",9
"2790",10
"2792",7
"2793",5
"2796",5
"2797",1
"2799",5
"2800",4
"2801",8
"2804",8
"2808",1
"2809",8
"2810",3
"2811",9
"2816",10
"2818",1
"2819",3
"2813",3
"2814",1
"2820",1
"2822",1
"2823",6
"2824",2
"2825",3
"2826",2
"2827",2
"2828",1
"2829",4
"2830",3
"2834",1
"6181",5
"6182",10
"6183",12
"6184",10
"6185",5
"6188",2
"6190",5
"6191",10
"6196",2
"6214",11
"6216",3
"6227",9
"6244",2
"6247",1
"2419",9
"6093",2
"6097",1
"6265",9
"6091",1
"6081",4
"6101",2
"6105",1
"2421",3
"6114",2
"6112",1
"2425",1
"2446",5
"6128",6
"6139",1
"2493",12
"2494",9
"5981",6
"5984",9
"5992",10
"5997",3
"6010",5
"6011",5
"6157",3
"6171",8
"6172",1
"6003",4
"6160",3
"6178",6
"2497",9
"6018",8
"6019",4
"6032",10
"6053",5
"6056",5
"6020",6
"6046",6
"6043",4
"6052",5
"6055",4
"6021",1
"6075",6
"6070",12
"2504",3
"2505",6
"2508",6
"2512",8
"3776",1
"3791",4
"3794",1
"3796",1
"3798",2
"6059",5
"3782",4
"6063",7
"3781",6
"6066",1
"2529",1
"3803",3
"3814",9
"3823",1
"3825",1
"3827",8
"3829",3
"3840",9
"3849",2
"3851",1
"3853",6
"3855",5
"3866",2
"3869",7
"3875",1
"3877",1
"3879",6
"3881",3
"3892",3
"3901",1
"3903",1
"3905",8
"3914",3
"3922",2
"3924",10
"3925",6
"3906",2
"3920",9
"3826",3
"3852",3
"3878",6
"3904",3
"3910",8
"2540",5
"2543",9
"2550",5
"2553",1
"3940",5
"3943",1
"3948",1
"3954",1
"3949",2
"3959",12
"3953",4
"3945",7
"3933",3
"2563",3
"2568",10
"2573",1
"2574",2
"2588",2
"2591",5
"2596",1
"2597",2
"2607",1
"2611",1
"2618",3
"2620",8
"2622",2
"2623",1
"2628",6
"2643",1
"2646",3
"2650",3
"2665",1
"2667",2
"2668",6
"2670",6
"2673",7
"2678",1
"2679",11
"2686",5
"2691",4
"2695",12
"2706",11
"2708",2
"2709",9
"2710",8
"2717",2
"2724",4
"2726",5
"2728",2
"2729",7
"2730",10
"2742",6
"2747",5
"2748",10
"2750",5
"2760",4
"2765",9
"2767",8
"2780",4
"2789",7
"2791",7
"2794",10
"2795",1
"2802",6
"2803",2
"2806",3
"2807",1
"2812",5
"2817",3
"2821",3
"6180",4
"6186",2
"6187",9
"6189",9
"6224",4
"6234",3
"6236",1
"6250",7
"6098",7
"6260",10
"6270",10
"6268",4
"6272",1
"6083",5
"6100",3
"6267",2
"2434",8
"2456",4
"2463",2
"2465",2
"6126",9
"6138",2
"6141",4
"2470",2
"2471",3
"5982",1
"6173",11
"6004",4
"6001",4
"6168",7
"6026",1
"6031",8
"3775",3
"3777",2
"3774",8
"3790",6
"2521",1
"2530",2
"3809",6
"3835",2
"3861",7
"3887",6
"3807",3
"3833",5
"3859",3
"3885",3
"3816",6
"3842",7
"3868",12
"3894",12
