"","x"
"improvement",81
"rural",73
"education",69
"rehabilitation",65
"management",56
"water",55
"road",54
"infrastructure",45
"power",43
"support",41
"urban",41
"supply",40
"financial",38
"roads",37
"health",31
"reform",30
"emergency",29
"community",26
"environmental",26
"sanitation",26
"small",26
"enterprise",23
"governance",23
"irrigation",23
"services",23
"investment",21
"finance",20
"secondary",20
"flood",19
"regional",19
"basic",18
"medium",18
"corridor",17
"phase",17
"area",16
"integrated",16
"public",16
"transmission",16
"transport",16
"central",15
"railway",15
"resources",15
"social",15
"agriculture",14
"north",14
"resource",14
"towns",14
"expressway",13
"west",13
"loan",12
"market",12
"microfinance",12
"skills",12
"southern",12
"technical",12
"coastal",11
"energy",11
"facility",11
"fisheries",11
"network",11
"provincial",11
"cluster",10
"conservation",10
"east",10
"economic",10
"greater",10
"mekong",10
"private",10
"province",10
"river",10
"subregion",10
"sustainable",10
"system",10
"tranche",10
"assistance",9
"city",9
"control",9
"efficiency",9
"industrial",9
"modernization",9
"balochistan",8
"capacity",8
"capital",8
"chi",8
"damage",8
"earthquake",8
"environment",8
"hydropower",8
"minh",8
"municipal",8
"policy",8
"port",8
"punjab",8
"recovery",8
"state",8
"strengthening",8
"training",8
"vocational",8
"building",7
"guangxi",7
"housing",7
"northern",7
"primary",7
"protection",7
"quality",7
"reconstruction",7
"restructuring",7
"sindh",7
"smallholder",7
"subprograms",7
"wastewater",7
"agricultural",6
"carec",6
"chongqing",6
"distribution",6
"government",6
"guizhou",6
"gujarat",6
"highway",6
"madhya",6
"markets",6
"nonbank",6
"ports",6
"pradesh",6
"region",6
"access",5
"care",5
"countercyclical",5
"credit",5
"crops",5
"enhancement",5
"expansion",5
"fiscal",5
"gansu",5
"groundwater",5
"java",5
"livestock",5
"manila",5
"metropolitan",5
"national",5
"restoration",5
"sized",5
"sulawesi",5
"technology",5
"upgrading",5
"western",5
"yunnan",5
"air",4
"bahawalpur",4
"based",4
"basin",4
"commune",4
"competitiveness",4
"corporate",4
"council",4
"customs",4
"decentralized",4
"devolved",4
"drainage",4
"electrification",4
"employment",4
"estate",4
"fiji",4
"forestry",4
"frontier",4
"ganzhou",4
"gas",4
"hebei",4
"implementation",4
"islands",4
"leichong",4
"livelihoods",4
"local",4
"longyan",4
"medan",4
"metro",4
"nam",4
"pacific",4
"participatory",4
"pension",4
"pest",4
"population",4
"poverty",4
"reduction",4
