"","V1"
"6198",1
"6253",2
"2420",2
"6089",1
"6266",4
"2469",5
"5987",2
"6152",2
"5989",1
"2498",7
"6025",2
"6045",6
"6047",1
"6054",1
"6057",7
"6036",2
"6069",12
"2511",2
"2516",6
"3784",7
"3787",5
"3799",5
"3788",5
"3793",10
"6065",2
"3821",2
"3822",9
"3847",2
"3848",9
"3873",2
"3874",9
"3899",2
"3900",8
"3907",1
"2544",2
"2545",6
"2555",2
"3967",2
"3958",1
"3946",8
"3965",11
"3931",4
"2561",2
"2587",12
"2598",3
"2613",1
"2649",8
"2654",3
"2680",3
"2688",1
"2694",3
"2746",8
"2798",7
"2831",12
"6254",8
"6255",2
"6256",6
"6192",1
"6193",1
"6194",7
"6195",6
"6197",1
"6199",3
"6200",6
"6201",2
"6202",4
"6203",5
"6204",3
"6205",7
"6206",2
"6207",3
"6208",1
"6209",1
"6210",6
"6211",2
"6212",12
"6213",1
"6215",2
"6217",5
"6218",2
"6219",5
"6220",9
"6221",1
"6222",1
"6223",6
"6225",2
"6226",4
"6228",1
"6229",8
"6230",2
"6231",6
"6232",1
"6233",1
"6235",7
"6237",2
"6238",1
"6239",5
"6240",6
"6241",7
"6242",6
"6243",12
"6245",2
"6246",2
"6248",4
"6249",9
"6251",13
"6252",4
"2418",5
"6080",11
"6088",3
"6094",13
"6107",1
"6109",2
"6111",5
"6257",5
"6258",1
"6276",1
"6277",1
"6278",7
"6279",7
"6084",8
"6086",2
"6095",3
"6102",1
"6103",2
"6104",2
"6110",1
"6259",2
"6263",6
"6271",3
"6274",12
"6275",1
"6082",7
"6085",4
"6087",6
"6096",1
"6099",5
"6106",3
"6108",1
"6261",1
"6262",2
"6264",1
"6273",3
"6090",2
"6079",1
"6092",1
"6269",5
"2422",3
"2423",6
"2424",10
"6113",1
"2426",9
"2427",1
"2428",9
"2429",10
"2430",1
"2431",7
"2432",1
"2433",1
"2435",7
"2436",13
"2437",3
"2438",4
"2439",3
"2440",6
"2441",1
"2442",13
"2443",5
"2444",5
"2445",3
"2447",12
"2448",9
"2449",1
"2450",9
"2451",12
"2452",12
"2453",10
"2454",1
"2455",1
"2457",6
"2458",6
"2459",3
"2460",1
"2461",3
